Alabama,AL,House-D:39; R:64; I:0; V:2,Senate-D:11; R:23; I:1; V:0,Governor:Robert Bentley(R)
Alaska,AK,House-D:15; R:25; I:0; V:0,Senate-D:7; R:13; I:0; V:0,Governor:Sean Parnell(R)
Arizona,AZ,House-D:24; R:36; I:0; V:0,Senate-D:13; R:17; I:0; V:0,Governor:Jan Brewer(R)
Arkansas,AR,House-D:49; R:51; I:0; V:0,Senate-D:14; R:21; I:0; V:0,Governor:Mike Beebe(D)
California,CA,House-D:54; R:26; I:0; V:0,Senate-D:26; R:12; I:0; V:2,Governor:Jerry Brown(D)
Colorado,CO,House-D:36; R:29; I:0; V:0,Senate-D:19; R:16; I:0; V:0,Governor:John Hickenlooper(D)
Connecticut,CT,House-D:99; R:52; I:0; V:0,Senate-D:22; R:14; I:0; V:0,Governor:Dan Malloy(D)
Delaware,DE,House-D:27; R:14; I:0; V:0,Senate-D:13; R:8; I:0; V:0,Governor:Jack Markell(D)
District of Columbia,DC,House-D:0; R:0; I:0; V:0,Senate-D:0; R:0; I:0; V:0 
Florida,FL,House-D:46; R:74; I:0; V:0,Senate-D:14; R:26; I:0; V:0,Governor:Rick Scott(R)
Georgia,GA,House-D:60; R:119; I:1; V:0,Senate-D:18; R:38; I:0; V:0,Governor:Nathan Deal(R)
Hawaii,HI,House-D:44; R:7; I:0; V:0,Senate-D:24; R:1; I:0; V:0,Governor:Neil Abercrombie(D)
Idaho,ID,House-D:13; R:57; I:0; V:0,Senate-D:7; R:28; I:0; V:0,Governor:Clement Butch Otter(R)
Illinois,IL,House-D:71; R:47; I:0; V:0,Senate-D:40; R:19; I:0; V:0,Governor:Pat Quinn(D)
Indiana,IN,House-D:31; R:69; I:0; V:0,Senate-D:13; R:37; I:0; V:0,Governor:Mike Pence(R)
Iowa,IA,House-D:47; R:53; I:0; V:0,Senate-D:26; R:23; I:0; V:1,Governor:Terry E.  Branstad(R)
Kansas,KS,House-D:35; R:90; I:0; V:0,Senate-D:9; R:31; I:0; V:0,Governor:Sam Brownback(R)
Kentucky,KY,House-D:55; R:45; I:0; V:0,Senate-D:14; R:22; I:1; V:1,Governor:Steven  Steve  Lynn Beshear (D)
Louisiana,LA,House-D:45; R:58; I:2; V:0,Senate-D:15; R:24; I:0; V:0,Governor:Bobby Jindal(R)
