mm9
Total: 8,952  cases identical transcripts have different cds
 count chr
    381 1
    428 10
    653 11
    320 12
    290 13
      2 13_random
    259 14
    374 15
    322 16
    391 17
    220 18
    180 19
    868 2
    396 3
    485 4
    550 5
    540 6
    898 7
    390 8
      2 8_random
    565 9
      2 9_random
      1 chrom
      3 Un_random
    416 X
      2 X_random
      3 Y
     12 Y_random
mm10
Total: 4453  cases identical transcripts have different cds
218 1
    221 10
    269 11
    228 12
    208 13
    159 14
    174 15
    154 16
    216 17
    122 18
    114 19
    389 2
    222 3
    248 4
      1 4_GL456350_random
      3 4_JH584293_random
    235 5
      1 5_JH584298_random
      1 5_JH584299_random
    241 6
    372 7
    200 8
    220 9
      1 chrom
    218 X
      1 X_GL456233_random
     18 Y


