Wunderground Code	ISO Code
AH	AF
AB	AL
AL	DZ
AS	AS
AD	AD
AN	AO
A1	AI
AA	AQ
AT	AG
AG	AR
AM	AM
AW	AW
AU	AU
AU	AU
OS	AT
A2	AZ
BS	BS
BN	BH
BW	BD
BR	BB
BY	BY
BX	BE
BH	BZ
BJ	BJ
BE	BM
B2	BT
BO	BO
BA	BA
BC	BW
BV	BV
BZ	BR
BT	IO
BF	BN
BU	BG
HV	BF
BI	BI
KH	KH
CM	CM
CA	CA
CV	CV
GC	KY
CE	CF
CD	TD
CH	CL
CI	CN
CX	CX
CC	CC
CO	CO
IC	KM
CG	CG
CD	CD
KU	CK
CS	CR
IV	CI
RH	HR
CU	CU
CY	CY
CZ	CZ
DN	DK
DJ	DJ
DO	DM
DR	DO
EQ	EC
EG	EG
ES	SV
GQ	GQ
E1	ER
EE	EE
ET	ET
FK	FK
FA	FO
FJ	FJ
FI	FI
FR	FR
FG	GF
PF	PF
TF	TF
GO	GA
GB	GM
GE	GE
DL	DE
GH	GH
GI	GI
GR	GR
GL	GL
GD	GD
GP	GP
GU	GU
GU	GT
GN	GN
GW	GW
GY	GY
HA	HT
HM	HM
VA	VA
HO	HN
HK	HK
HU	HU
IL	IS
IN	IN
ID	ID
IR	IR
IQ	IQ
IE	IE
IS	IL
IY	IT
JM	JM
JP	JP
JD	JO
KZ	KZ
KN	KE
KB	KI
KR	KP
KO	KR
KW	KW
KG	KG
LA	LA
LV	LV
LB	LB
LS	LS
LI	LR
LY	LY
LT	LI
L1	LT
LU	LU
MU	MO
MK	MK
MG	MG
MW	MW
MS	MY
MV	MV
MI	ML
ML	MT
MH	MH
MP	MP
MR	MQ
MT	MR
MA	MU
YT	YT
MX	MX
US_FM	FM
M1	MD
M3	MC
MO	MN
M2	MS
MC	MA
MZ	MZ
BM	MM
NM	NA
NW	NR
NP	NP
NL	NL
AN	AN
NZ	NZ
NC	NC
NK	NI
NR	NE
NI	NG
N1	NU
XX_NF	NF
US_MP	MP
NO	NO
OM	OM
PK	PK
PW	PW
PS	PS
PM	PA
NG	PG
PY	PY
PR	PE
PH	PH
P2	PN
PL	PL
PO	PT
PR	PR
QT	QA
RE	RE
RO	RO
RS	RU
RW	RW
HE	SH
K1	KN
LC	LC
P1	PM
VC	VC
ZM	WS
SM	SM
TP	ST
SD	SA
SG	SN
SC	SC
SL	SL
SR	SG
S1	SK
LJ	SI
SO	SB
SI	SO
ZA	ZA
GS	GS
SP	ES
SB	LK
SU	SD
SM	SR
SJ	SJ
SV	SZ
SN	SE
SW	CH
SY	SY
TW	TW
TJ	TJ
TN	TZ
TH	TH
EA	TL
TG	TG
TK	TK
TO	TO
TD	TT
TS	TN
TU	TR
TM	TM
TI	TC
TV	TV
TB	TB
UG	UG
UR	UA
ER	AE
UK	UK
US	US
US_UM	UM
UY	UY
UZ	UZ
NH	VU
VN	VE
VS	VN
VG	VG
VI	VI
FW	WF
EH	EH
YE	YE
RB	RS
KV	KV
M4	ME
ZB	ZM
ZW	ZW
 
