
*************************************************************
Starting load process :  9/14/2012 @ 13:48:28 

*************************************************************
File ACCESSION:  204424 OF 0 were loaded 
File ACCESSION:  202404 OF 0 were loaded 
File ACCESSION:  202632 OF 0 were loaded 
File ACCESSION:  201809 OF 0 were loaded 
File ACCESSION:  204956 OF 0 were loaded 
File ACCESSION:  204671 OF 0 were loaded 
File ACCESSION:  120441 OF 0 were loaded 
File ACCESSION:  206023 OF 0 were loaded 
File ACCESSION:  204589 OF 0 were loaded 
File ACCESSION:  203471 OF 0 were loaded 
File ACCESSION:  193716 OF 0 were loaded 
File ACCESSION:  203387 OF 0 were loaded 
File ACCESSION:  203601 OF 0 were loaded 
File ACCESSION:  205132 OF 0 were loaded 
File ACCESSION:  204305 OF 0 were loaded 
File ACCESSION:  205336 OF 0 were loaded 
File ACCESSION:  205815 OF 0 were loaded 
File ACCESSION:  205133 OF 0 were loaded 
File ACCESSION:  93524 OF 0 were loaded 
File ACCESSION:  204126 OF 0 were loaded 
File ACCESSION:  204302 OF 0 were loaded 
File ACCESSION:  203698 OF 0 were loaded 
File ACCESSION:  76461 OF 0 were loaded 
File ACCESSION:  203854 OF 0 were loaded 
File ACCESSION:  203930 OF 0 were loaded 
File ACCESSION:  204052 OF 0 were loaded 
File ACCESSION:  10328 OF 0 were loaded 
File ACCESSION:  204840 OF 0 were loaded 
File ACCESSION:  204386 OF 0 were loaded 
File ACCESSION:  135686 OF 0 were loaded 
File ACCESSION:  203273 OF 0 were loaded 
File ACCESSION:  204116 OF 0 were loaded 
File ACCESSION:  185998 OF 0 were loaded 
File ACCESSION:  203719 OF 0 were loaded 
File ACCESSION:  203174 OF 0 were loaded 
File ACCESSION:  45023 OF 0 were loaded 
File ACCESSION:  201132 OF 0 were loaded 
File ACCESSION:  201566 OF 0 were loaded 
File ACCESSION:  47073 OF 0 were loaded 
File ACCESSION:  203915 OF 0 were loaded 
File ACCESSION:  202949 OF 0 were loaded 
File ACCESSION:  203503 OF 0 were loaded 
File ACCESSION:  203717 OF 0 were loaded 
File ACCESSION:  203709 OF 0 were loaded 
File ACCESSION:  204317 OF 0 were loaded 
File ACCESSION:  193213 OF 0 were loaded 
File ACCESSION:  202726 OF 0 were loaded 
File ACCESSION:  203214 OF 0 were loaded 
File ACCESSION:  203974 OF 0 were loaded 
File ACCESSION:  204007 OF 0 were loaded 
File ACCESSION:  203956 OF 0 were loaded 
File ACCESSION:  50095 OF 0 were loaded 
File ACCESSION:  203734 OF 0 were loaded 
File ACCESSION:  204314 OF 0 were loaded 
File ACCESSION:  204525 OF 0 were loaded 
File ACCESSION:  204234 OF 0 were loaded 
File ACCESSION:  204336 OF 0 were loaded 
File ACCESSION:  20192 OF 0 were loaded 
File ACCESSION:  203506 OF 0 were loaded 
File ACCESSION:  203028 OF 0 were loaded 
File ACCESSION:  203944 OF 0 were loaded 
File ACCESSION:  203499 OF 0 were loaded 
File ACCESSION:  155452 OF 0 were loaded 
File ACCESSION:  204163 OF 0 were loaded 
File ACCESSION:  204352 OF 0 were loaded 
File ACCESSION:  203633 OF 0 were loaded 
File ACCESSION:  203906 OF 0 were loaded 
File ACCESSION:  197342 OF 0 were loaded 
File ACCESSION:  202696 OF 0 were loaded 
File ACCESSION:  202792 OF 0 were loaded 
File ACCESSION:  202925 OF 0 were loaded 
File ACCESSION:  203511 OF 0 were loaded 
File ACCESSION:  203088 OF 0 were loaded 
File ACCESSION:  19422 OF 0 were loaded 
File ACCESSION:  204015 OF 0 were loaded 
File ACCESSION:  204028 OF 0 were loaded 
File ACCESSION:  204493 OF 0 were loaded 
File ACCESSION:  203247 OF 0 were loaded 
File ACCESSION:  11588 OF 0 were loaded 
File ACCESSION:  203532 OF 0 were loaded 
File ACCESSION:  203830 OF 0 were loaded 
File ACCESSION:  204723 OF 0 were loaded 
File ACCESSION:  203371 OF 0 were loaded 
File ACCESSION:  91245 OF 0 were loaded 
File ACCESSION:  202647 OF 0 were loaded 
File ACCESSION:  204716 OF 0 were loaded 
File ACCESSION:  204539 OF 0 were loaded 
File ACCESSION:  125762 OF 0 were loaded 

*************************************************************
Program Ends:  9/14/2012 @ 15:15:9 

*************************************************************
