Organism group,organsim name,assemblyVersion,path2genomedata
mammal,human,hg19,genomes/mammal/human/hg19/dat
mammal,human,hg18,genomes/mammal/human/hg18/dat
mammal,chimp,panTro2,genomes/mammal/chimp/panTro2/dat
mammal,orangutan,ponAbe2,genomes/mammal/orangutan/ponAbe2/dat
mammal,mouse,mm10,genomes/mammal/mouse/mm10/dat
mammal,mouse,mm9,genomes/mammal/mouse/mm9/dat
mammal,mouse,mm8,genomes/mammal/mouse/mm8/dat
mammal,rat,rn4,genomes/mammal/rat/rn4/dat
mammal,dog,canFam2,genomes/mammal/dog/canFam2/dat
mammal,horse,equCab2,genomes/mammal/horse/equCab2/dat
mammal,horse,equCab1,genomes/mammal/horse/equCab1/dat
mammal,pig,susScr2,genomes/mammal/pig/susScr2/dat
mammal,cow,bosTau4,genomes/mammal/cow/bosTau4/dat
mammal,opossum,monDom5,genomes/mammal/opossum/monDom5/dat
mammal,opossum,monDom4,genomes/mammal/opossum/monDom4/dat
vertebrate,chicken,galGal3,genomes/vertebrate/chicken/galGal3/dat
vertebrate,zebrafish,danRer6,genomes/vertebrate/zebrafish/danRer6/dat
vertebrate,tetraodon,tetNig2,genomes/vertebrate/tetraodon/tetNig2/dat
vertebrate,fugu,fr2,genomes/vertebrate/fugu/fr2/dat
vertebrate,stickleback,gasAcu1,genomes/vertebrate/stickleback/gasAcu1/dat
vertebrate,medaka,oryLat2,genomes/vertebrate/medaka/oryLat2/dat
deuterostome,lancelet,braFlo1,genomes/deuterostome/lancelet/braFlo1/dat
insect,d.melanogaster,dm3,genomes/insect/d.melanogaster/dm3/dat
insect,d.simulans,droSim1,genomes/insect/d.simulans/droSim1/dat
insect,d.yakuba,droYak2,genomes/insect/d.yakuba/droYak2/dat
worm,c.elegans,ce6,genomes/worm/c.elegans/ce6/dat
worm,c.elegans,ce4,genomes/worm/c.elegans/ce4/dat
worm,c.brenneri,caePb2,genomes/worm/c.brenneri/caePb2/dat
worm,c.brenneri,caePb1,genomes/worm/c.brenneri/caePb1/dat
worm,c.briggsae,cb3,genomes/worm/c.briggsae/cb3/dat
worm,c.remanei,caeRem3,genomes/worm/c.remanei/caeRem3/dat
worm,c.remanei,caeRem2,genomes/worm/c.remanei/caeRem2/dat
worm,c.japonica,caeJap1,genomes/worm/c.japonica/caeJap1/dat
worm,p.pacificus,priPac1,genomes/worm/p.pacificus/priPac1/dat
other,s.cerevisiae,sacCer3,genomes/other/s.cerevisiae/sacCer3/dat
other,s.cerevisiae,sacCer2,genomes/other/s.cerevisiae/sacCer2/dat
other,s.cerevisiae,273614N,genomes/other/s.cerevisiae/273614N/dat
other,s.cerevisiae,322134S,genomes/other/s.cerevisiae/322134S/dat
other,s.cerevisiae,378604X,genomes/other/s.cerevisiae/378604X/dat
other,s.cerevisiae,BC187,genomes/other/s.cerevisiae/BC187/dat
other,s.cerevisiae,DBVPG1106,genomes/other/s.cerevisiae/DBVPG1106/dat
other,s.cerevisiae,DBVPG1373,genomes/other/s.cerevisiae/DBVPG1373/dat
other,s.cerevisiae,DBVPG1788,genomes/other/s.cerevisiae/DBVPG1788/dat
other,s.cerevisiae,DBVPG1853,genomes/other/s.cerevisiae/DBVPG1853/dat
other,s.cerevisiae,DBVPG6040,genomes/other/s.cerevisiae/DBVPG6040/dat
other,s.cerevisiae,DBVPG6044,genomes/other/s.cerevisiae/DBVPG6044/dat
other,s.cerevisiae,DBVPG6765,genomes/other/s.cerevisiae/DBVPG6765/dat
other,s.cerevisiae,K11,genomes/other/s.cerevisiae/K11/dat
other,s.cerevisiae,L_1374,genomes/other/s.cerevisiae/L_1374/dat
other,s.cerevisiae,L_1528,genomes/other/s.cerevisiae/L_1528/dat
other,s.cerevisiae,NCYC110,genomes/other/s.cerevisiae/NCYC110/dat
other,s.cerevisiae,NCYC361,genomes/other/s.cerevisiae/NCYC361/dat
other,s.cerevisiae,REF,genomes/other/s.cerevisiae/REF/dat
other,s.cerevisiae,RM11_1A,genomes/other/s.cerevisiae/RM11_1A/dat
other,s.cerevisiae,S288c,genomes/other/s.cerevisiae/S288c/dat
other,s.cerevisiae,SK1,genomes/other/s.cerevisiae/SK1/dat
other,s.cerevisiae,UWOPS03_461_4,genomes/other/s.cerevisiae/UWOPS03_461_4/dat
other,s.cerevisiae,UWOPS05_217_3,genomes/other/s.cerevisiae/UWOPS05_217_3/dat
other,s.cerevisiae,UWOPS05_227_2,genomes/other/s.cerevisiae/UWOPS05_227_2/dat
other,s.cerevisiae,UWOPS83_787_3,genomes/other/s.cerevisiae/UWOPS83_787_3/dat
other,s.cerevisiae,UWOPS87_2421,genomes/other/s.cerevisiae/UWOPS87_2421/dat
other,s.cerevisiae,W303,genomes/other/s.cerevisiae/W303/dat
other,s.cerevisiae,Y12,genomes/other/s.cerevisiae/Y12/dat
other,s.cerevisiae,Y55,genomes/other/s.cerevisiae/Y55/dat
other,s.cerevisiae,Y9,genomes/other/s.cerevisiae/Y9/dat
other,s.cerevisiae,YIIc17_E5,genomes/other/s.cerevisiae/YIIc17_E5/dat
other,s.cerevisiae,YJM789,genomes/other/s.cerevisiae/YJM789/dat
other,s.cerevisiae,YJM975,genomes/other/s.cerevisiae/YJM975/dat
other,s.cerevisiae,YJM978,genomes/other/s.cerevisiae/YJM978/dat
other,s.cerevisiae,YJM981,genomes/other/s.cerevisiae/YJM981/dat
other,s.cerevisiae,YPS128,genomes/other/s.cerevisiae/YPS128/dat
other,s.cerevisiae,YPS606,genomes/other/s.cerevisiae/YPS606/dat
other,s.cerevisiae,YS2,genomes/other/s.cerevisiae/YS2/dat
other,s.cerevisiae,YS4,genomes/other/s.cerevisiae/YS4/dat
other,s.cerevisiae,YS9,genomes/other/s.cerevisiae/YS9/dat
