name	chrom	strand	chromStart	chromEnd	source
mmu-mir-206	chr1	+	20669090	20669163	ucsc-mm9-miRNA
mmu-mir-133b	chr1	+	20672849	20672968	ucsc-mm9-miRNA
mmu-mir-30a	chr1	+	23279107	23279178	ucsc-mm9-miRNA
mmu-mir-30c-2	chr1	+	23298539	23298623	ucsc-mm9-miRNA
mmu-mir-1928	chr1	-	74253127	74253194	ucsc-mm9-miRNA
mmu-mir-26b	chr1	+	74440883	74440968	ucsc-mm9-miRNA
mmu-mir-375	chr1	-	74947231	74947295	ucsc-mm9-miRNA
mmu-mir-149	chr1	+	94746954	94747020	ucsc-mm9-miRNA
mmu-mir-128-1	chr1	+	130098937	130099007	ucsc-mm9-miRNA
mmu-mir-135b	chr1	+	134094664	134094761	ucsc-mm9-miRNA
mmu-mir-181a-1	chr1	+	139863031	139863118	ucsc-mm9-miRNA
mmu-mir-181b-1	chr1	+	139863215	139863295	ucsc-mm9-miRNA
mmu-mir-488	chr1	+	160435755	160435864	ucsc-mm9-miRNA
mmu-mir-1927	chr1	-	162225994	162226103	ucsc-mm9-miRNA
mmu-mir-199a-2	chr1	+	164147944	164148054	ucsc-mm9-miRNA
mmu-mir-214	chr1	+	164153498	164153608	ucsc-mm9-miRNA
mmu-mir-689-1	chr1	-	169270531	169270640	ucsc-mm9-miRNA
mmu-mir-350	chr1	-	178702455	178702554	ucsc-mm9-miRNA
mmu-mir-1981	chr1	-	186646285	186646367	ucsc-mm9-miRNA
mmu-mir-194-1	chr1	+	187137197	187137264	ucsc-mm9-miRNA
mmu-mir-215	chr1	+	187137459	187137571	ucsc-mm9-miRNA
mmu-mir-205	chr1	-	195333656	195333724	ucsc-mm9-miRNA
mmu-mir-29b-2	chr1	+	196863233	196863314	ucsc-mm9-miRNA
mmu-mir-29c	chr1	+	196863740	196863828	ucsc-mm9-miRNA
mmu-mir-297a-2	chr10	+	42855275	42855339	ucsc-mm9-miRNA
mmu-mir-1929	chr10	+	44079481	44079574	ucsc-mm9-miRNA
mmu-mir-466j	chr10	+	60423470	60423592	ucsc-mm9-miRNA
mmu-mir-678	chr10	-	75670070	75670154	ucsc-mm9-miRNA
mmu-mir-1930	chr10	+	77103968	77104052	ucsc-mm9-miRNA
mmu-mir-1982	chr10	+	80291541	80291615	ucsc-mm9-miRNA
mmu-mir-135a-2	chr10	-	91534830	91534930	ucsc-mm9-miRNA
mmu-mir-1931	chr10	+	92625529	92625648	ucsc-mm9-miRNA
mmu-mir-331	chr10	-	93426512	93426608	ucsc-mm9-miRNA
mmu-mir-763	chr10	-	119885046	119885166	ucsc-mm9-miRNA
mmu-let-7i	chr10	-	122422695	122422780	ucsc-mm9-miRNA
mmu-mir-26a-2	chr10	+	126432585	126432669	ucsc-mm9-miRNA
mmu-mir-546	chr10	+	126435495	126435616	ucsc-mm9-miRNA
mmu-mir-677	chr10	+	127522341	127522450	ucsc-mm9-miRNA
mmu-mir-1933	chr11	-	21244590	21244678	ucsc-mm9-miRNA
mmu-mir-216b	chr11	+	28646190	28646276	ucsc-mm9-miRNA
mmu-mir-216a	chr11	+	28657011	28657083	ucsc-mm9-miRNA
mmu-mir-217	chr11	+	28663727	28663835	ucsc-mm9-miRNA
mmu-mir-218-2	chr11	+	35430317	35430427	ucsc-mm9-miRNA
mmu-mir-103-1	chr11	+	35595897	35595983	ucsc-mm9-miRNA
