name	chrom	chromStart	chromEnd	source
trf	chr1	3002005	3002051	ucsc-mm9-simpleRepeat
trf	chr1	3004069	3004130	ucsc-mm9-simpleRepeat
trf	chr1	3010193	3010273	ucsc-mm9-simpleRepeat
trf	chr1	3021527	3021568	ucsc-mm9-simpleRepeat
trf	chr1	3021532	3021568	ucsc-mm9-simpleRepeat
trf	chr1	3025453	3025622	ucsc-mm9-simpleRepeat
trf	chr1	3025454	3025623	ucsc-mm9-simpleRepeat
trf	chr1	3028582	3028749	ucsc-mm9-simpleRepeat
trf	chr1	3034597	3034707	ucsc-mm9-simpleRepeat
trf	chr1	3035549	3035578	ucsc-mm9-simpleRepeat
trf	chr1	3038971	3039137	ucsc-mm9-simpleRepeat
trf	chr1	3040153	3040256	ucsc-mm9-simpleRepeat
trf	chr1	3040155	3040623	ucsc-mm9-simpleRepeat
trf	chr1	3040254	3040291	ucsc-mm9-simpleRepeat
trf	chr1	3040818	3040854	ucsc-mm9-simpleRepeat
trf	chr1	3041035	3041084	ucsc-mm9-simpleRepeat
trf	chr1	3041447	3041619	ucsc-mm9-simpleRepeat
trf	chr1	3041791	3041878	ucsc-mm9-simpleRepeat
trf	chr1	3045857	3045896	ucsc-mm9-simpleRepeat
trf	chr1	3052204	3052249	ucsc-mm9-simpleRepeat
trf	chr1	3053404	3053451	ucsc-mm9-simpleRepeat
trf	chr1	3054321	3054503	ucsc-mm9-simpleRepeat
trf	chr1	3054524	3054567	ucsc-mm9-simpleRepeat
trf	chr1	3062868	3062930	ucsc-mm9-simpleRepeat
trf	chr1	3062878	3062923	ucsc-mm9-simpleRepeat
trf	chr1	3064619	3064665	ucsc-mm9-simpleRepeat
trf	chr1	3065511	3065539	ucsc-mm9-simpleRepeat
trf	chr1	3068749	3068781	ucsc-mm9-simpleRepeat
trf	chr1	3069575	3069627	ucsc-mm9-simpleRepeat
trf	chr1	3073244	3073392	ucsc-mm9-simpleRepeat
trf	chr1	3073986	3074012	ucsc-mm9-simpleRepeat
trf	chr1	3075478	3075560	ucsc-mm9-simpleRepeat
trf	chr1	3084447	3084517	ucsc-mm9-simpleRepeat
trf	chr1	3085531	3085584	ucsc-mm9-simpleRepeat
trf	chr1	3086994	3087043	ucsc-mm9-simpleRepeat
trf	chr1	3087043	3087113	ucsc-mm9-simpleRepeat
trf	chr1	3087545	3087594	ucsc-mm9-simpleRepeat
trf	chr1	3088547	3088607	ucsc-mm9-simpleRepeat
trf	chr1	3088624	3088681	ucsc-mm9-simpleRepeat
trf	chr1	3093418	3093521	ucsc-mm9-simpleRepeat
trf	chr1	3093463	3093547	ucsc-mm9-simpleRepeat
trf	chr1	3094794	3094941	ucsc-mm9-simpleRepeat
trf	chr1	3105119	3105149	ucsc-mm9-simpleRepeat
trf	chr1	3106535	3106594	ucsc-mm9-simpleRepeat
trf	chr1	3112100	3112161	ucsc-mm9-simpleRepeat
trf	chr1	3112108	3112171	ucsc-mm9-simpleRepeat
trf	chr1	3112238	3112272	ucsc-mm9-simpleRepeat
trf	chr1	3115421	3115495	ucsc-mm9-simpleRepeat
trf	chr1	3120370	3120423	ucsc-mm9-simpleRepeat
trf	chr1	3124199	3124243	ucsc-mm9-simpleRepeat
trf	chr1	3125026	3125094	ucsc-mm9-simpleRepeat
trf	chr1	3136603	3136704	ucsc-mm9-simpleRepeat
trf	chr1	3137584	3137696	ucsc-mm9-simpleRepeat
trf	chr1	3146261	3146343	ucsc-mm9-simpleRepeat
trf	chr1	3152033	3152067	ucsc-mm9-simpleRepeat
trf	chr1	3153775	3153834	ucsc-mm9-simpleRepeat
trf	chr1	3157243	3157268	ucsc-mm9-simpleRepeat
trf	chr1	3158611	3158652	ucsc-mm9-simpleRepeat
trf	chr1	3159305	3159340	ucsc-mm9-simpleRepeat
trf	chr1	3160616	3160652	ucsc-mm9-simpleRepeat
trf	chr1	3165830	3165891	ucsc-mm9-simpleRepeat
trf	chr1	3166480	3166516	ucsc-mm9-simpleRepeat
trf	chr1	3166656	3166727	ucsc-mm9-simpleRepeat
trf	chr1	3172126	3172194	ucsc-mm9-simpleRepeat
trf	chr1	3174205	3174233	ucsc-mm9-simpleRepeat
trf	chr1	3178631	3178712	ucsc-mm9-simpleRepeat
trf	chr1	3179560	3179608	ucsc-mm9-simpleRepeat
trf	chr1	3180855	3180924	ucsc-mm9-simpleRepeat
trf	chr1	3183028	3183131	ucsc-mm9-simpleRepeat
